id,full_id,created,country,hashtags,hypes,img_src
9206526,9206526-Karinadresses-Ruby-Dress-In-Charmed-Autumn-Fashion-Charmed,2019-10-06 18:56:12.525082,United States,,35,//s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/06/5444570_Style_970_g.jpg?1570379120
9206494,9206494-Off-White-Belt-Stussy-Hat-Mom-Jeans,2019-10-06 15:56:12.536316,United States,"#thriftfashion,#sockboots,#corset,#buckethat,#offwhite",62,//s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/06/5444555_PhotoGrid_1570371771480.jpg?1570371969
9206482,9206482-Barbie-Gir,2019-10-06 15:56:12.544532,United States,"#plaid,#twopiece,#combat",85,//s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/06/5444549_image.jpg?1570368572
9206412,9206412-,2019-10-06 05:56:12.553140,United States,"#queer,#lgbtq",99,//s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/06/5444512_l0l0.jpg?1570334970
9206364,9206364-October-5th,2019-10-05 21:56:12.560556,United States,,162,//s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/05/5444487_image.jpg?1570302579
9206294,9206294-Ch,2019-10-05 21:56:12.571659,United States,"#asian,#korean,#animalprint,#mustard,#matchmade",247,//s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/05/5444451_look.jpg?1570284136
9206122,9206122-Sunlit-Dream,2019-10-05 21:56:12.581026,United States,"#stylist,#blogger,#texas,#thelinebyk,#thrift",278,//s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/05/5444365_Untitled_design_(2).jpg?1570254148
9206108,9206108-Zara-Sheer-Top-Denim-Shorts-Sheer-Florals-Th,2019-10-04 21:56:12.592877,United States,"#sheertop,#puffysleeves,#puffsleeves,#zara,#floral",238,//s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/04/5444357_Screen_Shot_2019-09-26_at_4.46.00_PM.jpg?1570230841
9206056,9206056-Urban-Outfitters-Hat-H&M-Shirt-Madewell-Jeans,2019-10-04 21:56:12.600996,United States,#street,368,//s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/04/5444329_untz__kaytedemont_2019-7037.jpg?1570209474
9206054,9206054-Ader-Error-Tee-Kenzo-Fanny-Pack-Cline-Celine,2019-10-04 21:56:12.609447,United States,,239,//s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/04/5444328_image.jpg?1570207648
9206048,9206048-Ragarebe,2019-10-04 21:56:12.619758,United States,,192,//s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/04/5444325_20191004_114952.jpg?1570204230
9206032,9206032-Pendant-Plaid-Nora-Dress-Bewitched,2019-10-04 21:56:12.629154,United States,,265,//s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/04/5444317_Style_966_i.jpg?1570201372
id,full_id,created,country,hashtags,hypes,img_src
9206526,9206526-Karinadresses-Ruby-Dress-In-Charmed-Autumn-Fashion-Charmed,2019-10-06 18:13:10.768435,United States,,40,//s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/06/5444570_Style_970_g.jpg?1570379120
