created_django,modified_django,img_url,full_id,look_id,hype,created,country,hashtags
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/07/5444732__DSC0546LB.jpg?1570467785,9206878-Leather-Splattered-Gap-Heather-Bcp-Jewelry-Crysta,9206878,2,2019-10-07 20:24:17.124342,United States,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/07/5444730_1.jpg?1570465992,9206826-April-Cornell-Patchwork-Shirt-Wide-Pants-,9206826,44,2019-10-07 16:24:17.212276,United States,"queer,lgbtq"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/07/5444716_look.jpg?1570458961,9206804-Elegantees-Long-Dress-September-Highlights-Modeling-Portland-And-Micheli,9206804,73,2019-10-07 14:24:17.232895,United States,"asian,korean,elegantees,sociallyresponsible,modeling"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/07/5444712_Fall_Lookbook_Top_Image.jpg?1570458299,9206802-H&M-Yellow-Floral-Wrap-Dress-Raided-Moms-Closet,9206802,67,2019-10-07 14:24:17.275371,United States,"florals,fallflorals,yellowdress,sustainable,sustainablestyle"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/07/5444700_image.jpg?1570451924,9206776-French-Connection-Uk-Le-Frenchie-Cropped-Graphic,9206776,60,2019-10-07 12:24:17.301108,United States,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/07/5444641_2.jpg?1570412354,9206662-,9206662,156,2019-10-07 01:24:17.322372,United States,"queer,lgbtq"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/06/5444570_Style_970_g.jpg?1570379120,9206526-Karinadresses-Ruby-Dress-In-Charmed-Autumn-Fashion-Charmed,9206526,204,2019-10-06 21:24:17.339692,United States,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/06/5444555_PhotoGrid_1570371771480.jpg?1570371969,9206494-Off-White-Belt-Stussy-Hat-Mom-Jeans,9206494,198,2019-10-06 21:24:17.359432,United States,"thriftfashion,sockboots,corset,buckethat,offwhite"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/06/5444549_image.jpg?1570368572,9206482-Barbie-Gir,9206482,234,2019-10-06 21:24:17.385862,United States,"plaid,twopiece,combat"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/10/06/5444512_l0l0.jpg?1570334970,9206412-,9206412,186,2019-10-06 21:24:17.413370,United States,"queer,lgbtq"
